Experiment_identifier_1,Experiment_identifier_2,TargetOchConc,Control_Type,Time_0,Time_1,Time_2,Time_3,Prey_0,Prey_1,Prey_2,Prey_3,Pred_0,Pred_1,Pred_2,Pred_3
1393,B,75000,Predator_Free,0,1,2,3,55716,62778,87277,81067,0,0,0,0
1393,B,100000,Predator_Free,0,1,2,3,76168,85109,125102,130637,0,0,0,0
1393,B,125000,Predator_Free,0,1,2,3,105965,134727,142987,136799,0,0,0,0
1393,B,0,Prey_Free,0,1,2,3,570,57,342,0,720,850,330,970
1393,B,25000,Treatment,0,1,2,3,13420,3269,2165,399,710,590,140,280
1393,B,50000,Treatment,0,1,2,3,30139,9401,4729,1766,180,580,590,510
1393,B,75000,Treatment,0,1,2,3,54128,12022,6096,1709,890,580,380,620
1393,B,100000,Treatment,0,1,2,3,88372,24730,9800,2735,2590,980,500,520
1393,B,125000,Treatment,0,1,2,3,100101,19658,9516,2792,810,580,740,1030
1393,C,0,Predator_Free,0,1,2,3,342,114,285,0,0,0,0,0
1393,C,25000,Predator_Free,0,1,2,3,19141,21533,30534,33497,0,0,0,0
1393,C,50000,Predator_Free,0,1,2,3,43296,45403,60614,61011,0,0,0,0
1393,C,75000,Predator_Free,0,1,2,3,48251,63005,61256,73375,0,0,0,0
1393,C,100000,Predator_Free,0,1,2,3,99295,115476,116728,128861,0,0,0,0
1393,C,125000,Predator_Free,0,1,2,3,125330,150622,129262,167498,0,0,0,0
1393,C,0,Prey_Free,0,1,2,3,456,285,171,342,420,610,700,530
1393,C,25000,Treatment,0,1,2,3,13165,3532,1538,798,2730,810,1220,500
1393,C,50000,Treatment,0,1,2,3,28656,6381,3020,1197,680,600,380,1200
